problem_id,rules_text,reaction_state,option_A,option_B,option_C,option_D,answer
0,"0. If (sigma_density < 8 AND (zeta_affinity < 5 OR polarity > 0.226)), Gamma rearrangement is activated.
1. If sigma_density > 8, Gamma rearrangement is blocked.
2. If ((zeta_affinity < 9 OR thermal_index < 72) AND (thermal_index < 87 OR NOT (sigma_density > 7))), Beta displacement is activated.
3. If polarity > 0.517, Gamma rearrangement dominates Alpha transformation.
4. If polarity > 0.076, Gamma rearrangement dominates Alpha transformation.
5. If exactly 2 mechanisms remain, eliminate Beta displacement.
6. If NOT (steric_factor < 4), Alpha transformation is blocked.
7. If ((thermal_index > 78 OR zeta_affinity < 0) OR NOT (zeta_affinity < 4)), Delta elimination is activated.
8. If (zeta_affinity < 6 AND polarity > 0.394), Delta elimination is blocked.
9. If (steric_factor > 3 OR (NOT (polarity < 0.187) OR thermal_index < 78)), Beta displacement dominates Delta elimination.
10. If (NOT (thermal_index < 35) OR zeta_affinity > 10), dominance between Beta displacement and Gamma rearrangement is reversed.
11. If (NOT (steric_factor > 3) OR zeta_affinity < 8), Rule 4 is overridden.","sigma_density=8, steric_factor=4, polarity=0.048, thermal_index=12, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
1,"0. If polarity < 0.585, Alpha transformation dominates Delta elimination.
1. If exactly 2 mechanisms remain, eliminate Alpha transformation.
2. If zeta_affinity > 1, dominance between Gamma rearrangement and Delta elimination is reversed.
3. If ((NOT (thermal_index > 93) AND NOT (thermal_index > 45)) OR thermal_index < 71), dominance between Beta displacement and Gamma rearrangement is reversed.
4. If (NOT (thermal_index > 35) OR polarity < 0.819), Beta displacement is blocked.
5. If (zeta_affinity < 3 OR (zeta_affinity > 6 OR thermal_index > 98)), Gamma rearrangement is activated.
6. If NOT (sigma_density > 0), Alpha transformation is activated.
7. If steric_factor > 0, Delta elimination is blocked.
8. If NOT (zeta_affinity < 9), dominance between Beta displacement and Gamma rearrangement is reversed.
9. If steric_factor < 5, dominance between Alpha transformation and Beta displacement is reversed.
10. If zeta_affinity < 6, dominance between Alpha transformation and Gamma rearrangement is reversed.","sigma_density=4, steric_factor=4, polarity=0.041, thermal_index=9, zeta_affinity=4",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2,"0. If ((zeta_affinity > 3 OR zeta_affinity < 2) AND polarity < 0.096), Beta displacement dominates Gamma rearrangement.
1. If thermal_index < 52, Beta displacement dominates Alpha transformation.
2. If steric_factor > 1, Alpha transformation is blocked.
3. If ((thermal_index < 44 OR NOT (steric_factor < 3)) AND sigma_density > 3), Beta displacement is activated.
4. If steric_factor < 0, Alpha transformation dominates Delta elimination.
5. If ((NOT (sigma_density > 3) OR zeta_affinity > 9) AND polarity > 0.668), Beta displacement is activated.
6. If (steric_factor < 5 AND steric_factor > 4), Alpha transformation is blocked.
7. If exactly 2 mechanisms remain, eliminate Beta displacement.
8. If NOT (zeta_affinity < 3), Rule 5 is overridden.
9. If zeta_affinity < 2, Gamma rearrangement is activated.","sigma_density=8, steric_factor=5, polarity=0.041, thermal_index=41, zeta_affinity=7",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
3,"0. If exactly 3 mechanisms remain, eliminate Beta displacement.
1. If thermal_index < 34, Rule 0 is overridden.
2. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
3. If sigma_density > 10, Rule 1 is overridden.
4. If (NOT (zeta_affinity < 3) OR sigma_density < 3), Delta elimination dominates Gamma rearrangement.
5. If polarity < 0.136, Gamma rearrangement is activated.
6. If ((NOT (sigma_density > 7) OR sigma_density < 5) OR (NOT (sigma_density > 6) OR zeta_affinity > 8)), dominance between Alpha transformation and Delta elimination is reversed.
7. If exactly 2 mechanisms remain, eliminate Beta displacement.
8. If steric_factor < 1, Gamma rearrangement is blocked.
9. If exactly 2 mechanisms remain, eliminate Delta elimination.
10. If polarity > 0.879, dominance between Gamma rearrangement and Beta displacement is reversed.
11. If ((sigma_density > 10 OR steric_factor < 2) OR (sigma_density > 8 OR thermal_index < 1)), Alpha transformation is activated.","sigma_density=3, steric_factor=2, polarity=0.21, thermal_index=20, zeta_affinity=7",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
5,"0. If (steric_factor > 4 OR (NOT (steric_factor < 2) OR polarity > 0.398)), Beta displacement is blocked.
1. If thermal_index > 54, Rule 0 is overridden.
2. If exactly 1 mechanisms remain, eliminate Alpha transformation.
3. If exactly 2 mechanisms remain, eliminate Alpha transformation.
4. If exactly 3 mechanisms remain, eliminate Delta elimination.
5. If sigma_density < 10, dominance between Beta displacement and Alpha transformation is reversed.
6. If polarity > 0.631, Rule 5 is overridden.
7. If NOT (thermal_index > 87), Beta displacement is blocked.
8. If sigma_density < 10, Alpha transformation is activated.
9. If exactly 1 mechanisms remain, eliminate Delta elimination.","sigma_density=1, steric_factor=0, polarity=0.774, thermal_index=53, zeta_affinity=8",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
7,"0. If NOT (steric_factor > 0), Delta elimination dominates Alpha transformation.
1. If (thermal_index > 67 OR sigma_density < 1), Beta displacement dominates Alpha transformation.
2. If (zeta_affinity < 2 AND (NOT (thermal_index > 1) OR zeta_affinity > 9)), Beta displacement dominates Delta elimination.
3. If NOT (polarity < 0.114), Alpha transformation is blocked.
4. If ((NOT (thermal_index > 81) AND steric_factor > 3) OR steric_factor > 5), Rule 0 is overridden.
5. If ((sigma_density < 7 OR polarity < 0.352) AND steric_factor < 3), Delta elimination dominates Beta displacement.
6. If ((thermal_index < 81 AND NOT (sigma_density > 1)) OR (thermal_index < 13 AND zeta_affinity > 8)), Delta elimination dominates Alpha transformation.
7. If ((sigma_density < 3 OR polarity < 0.968) OR NOT (polarity < 0.782)), Gamma rearrangement is blocked.
8. If (NOT (thermal_index > 4) AND (zeta_affinity < 9 OR zeta_affinity > 6)), Rule 6 is overridden.
9. If ((steric_factor < 5 OR steric_factor < 3) OR steric_factor > 4), Gamma rearrangement is activated.
10. If exactly 3 mechanisms remain, eliminate Alpha transformation.","sigma_density=9, steric_factor=1, polarity=0.028, thermal_index=90, zeta_affinity=8",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
8,"0. If exactly 2 mechanisms remain, eliminate Beta displacement.
1. If (thermal_index < 98 AND steric_factor > 5), Alpha transformation is blocked.
2. If (steric_factor < 2 OR thermal_index > 46), Rule 0 is overridden.
3. If sigma_density < 3, Rule 1 is overridden.
4. If ((steric_factor > 2 OR NOT (zeta_affinity > 10)) AND (NOT (thermal_index > 78) AND polarity > 0.927)), dominance between Beta displacement and Delta elimination is reversed.
5. If (steric_factor > 1 OR (polarity > 0.274 OR polarity < 0.708)), Delta elimination is activated.
6. If steric_factor < 5, Alpha transformation is blocked.
7. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.","sigma_density=10, steric_factor=4, polarity=0.352, thermal_index=3, zeta_affinity=1",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
9,"0. If exactly 3 mechanisms remain, eliminate Alpha transformation.
1. If (polarity > 0.189 AND (NOT (thermal_index < 66) AND sigma_density > 10)), Rule 0 is overridden.
2. If (NOT (zeta_affinity < 1) OR (NOT (thermal_index < 50) OR polarity > 0.495)), Gamma rearrangement is activated.
3. If steric_factor < 4, dominance between Beta displacement and Alpha transformation is reversed.
4. If (polarity > 0.9 OR (NOT (thermal_index > 42) AND polarity > 0.881)), Delta elimination dominates Gamma rearrangement.
5. If NOT (steric_factor > 3), Alpha transformation is activated.
6. If exactly 1 mechanisms remain, eliminate Delta elimination.
7. If NOT (polarity < 0.891), Alpha transformation dominates Delta elimination.
8. If ((NOT (steric_factor < 2) AND NOT (zeta_affinity < 6)) OR thermal_index > 81), Rule 2 is overridden.
9. If (polarity < 0.391 AND steric_factor < 0), Delta elimination dominates Beta displacement.
10. If exactly 2 mechanisms remain, eliminate Delta elimination.","sigma_density=0, steric_factor=3, polarity=0.352, thermal_index=0, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
10,"0. If NOT (zeta_affinity < 1), dominance between Alpha transformation and Delta elimination is reversed.
1. If ((steric_factor > 4 OR polarity > 0.289) OR polarity > 0.391), Beta displacement is blocked.
2. If NOT (sigma_density < 9), Gamma rearrangement is activated.
3. If ((zeta_affinity > 7 OR polarity < 0.963) OR steric_factor > 2), Alpha transformation is activated.
4. If (zeta_affinity < 5 AND (polarity < 0.785 OR sigma_density < 10)), Gamma rearrangement is blocked.
5. If ((NOT (zeta_affinity < 5) AND NOT (sigma_density > 2)) AND thermal_index > 41), Alpha transformation is blocked.
6. If (thermal_index > 8 AND sigma_density < 7), Beta displacement is blocked.
7. If thermal_index > 48, Beta displacement dominates Alpha transformation.
8. If polarity > 0.225, Beta displacement dominates Alpha transformation.","sigma_density=9, steric_factor=0, polarity=0.629, thermal_index=85, zeta_affinity=1",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
12,"0. If NOT (thermal_index < 23), Beta displacement dominates Gamma rearrangement.
1. If ((NOT (steric_factor < 0) AND zeta_affinity > 9) OR polarity > 0.613), Beta displacement is activated.
2. If ((thermal_index < 62 AND NOT (zeta_affinity < 7)) AND (polarity < 0.42 OR thermal_index > 14)), Gamma rearrangement dominates Delta elimination.
3. If ((thermal_index < 62 OR sigma_density < 4) OR polarity < 0.262), Rule 1 is overridden.
4. If sigma_density < 4, Rule 2 is overridden.
5. If (thermal_index > 28 OR (NOT (sigma_density < 9) AND zeta_affinity > 0)), dominance between Gamma rearrangement and Delta elimination is reversed.
6. If ((polarity > 0.535 AND NOT (thermal_index > 91)) AND (polarity > 0.413 OR sigma_density > 0)), Beta displacement is activated.
7. If NOT (steric_factor > 5), Alpha transformation dominates Beta displacement.
8. If NOT (polarity > 0.862), dominance between Delta elimination and Alpha transformation is reversed.","sigma_density=0, steric_factor=5, polarity=0.83, thermal_index=77, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
13,"0. If exactly 1 mechanisms remain, eliminate Alpha transformation.
1. If exactly 2 mechanisms remain, eliminate Delta elimination.
2. If NOT (polarity > 0.5), dominance between Delta elimination and Beta displacement is reversed.
3. If (zeta_affinity > 5 AND (steric_factor < 5 OR thermal_index < 71)), Rule 2 is overridden.
4. If (polarity < 0.855 AND zeta_affinity < 3), Rule 1 is overridden.
5. If steric_factor < 0, Rule 2 is overridden.
6. If (polarity < 0.034 AND polarity > 0.274), Delta elimination dominates Gamma rearrangement.
7. If NOT (steric_factor > 3), dominance between Alpha transformation and Gamma rearrangement is reversed.
8. If steric_factor > 1, dominance between Alpha transformation and Delta elimination is reversed.
9. If (sigma_density < 8 OR zeta_affinity < 0), Rule 2 is overridden.
10. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.","sigma_density=3, steric_factor=5, polarity=0.505, thermal_index=22, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
14,"0. If exactly 2 mechanisms remain, eliminate Beta displacement.
1. If polarity < 0.483, dominance between Beta displacement and Gamma rearrangement is reversed.
2. If polarity < 0.954, Beta displacement is activated.
3. If exactly 1 mechanisms remain, eliminate Beta displacement.
4. If sigma_density < 1, dominance between Beta displacement and Delta elimination is reversed.
5. If NOT (thermal_index > 0), Rule 1 is overridden.
6. If steric_factor > 1, Beta displacement dominates Alpha transformation.
7. If ((sigma_density > 7 OR thermal_index < 70) OR (thermal_index > 90 AND sigma_density > 6)), dominance between Gamma rearrangement and Beta displacement is reversed.
8. If (thermal_index > 68 OR (zeta_affinity > 0 AND steric_factor < 1)), dominance between Alpha transformation and Gamma rearrangement is reversed.
9. If steric_factor > 0, Alpha transformation is blocked.
10. If NOT (steric_factor > 3), Delta elimination dominates Gamma rearrangement.","sigma_density=7, steric_factor=0, polarity=0.261, thermal_index=53, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
